ID,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,TOTAL				
   1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15				
   2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,13				
   3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,8				
   4,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,12				
   5,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,12				
   6,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,12				
   7,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,12				
   8,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,11				
   9,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,8				
  10,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,7				
  11,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,7				
  12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3				
  13,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,6				
  14,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,5				
  15,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,10				
  16,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,12				
  17,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,7				
  18,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4				
  19,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,10				
  20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13				
  21,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,7				
  22,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,5				
  23,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,9				
  24,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,10				
  25,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,8				
  26,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,10				
  27,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,6				
  28,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,12				
  29,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,10				
  30,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,7				
  31,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14				
  32,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,12				
  33,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,10				
  34,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5				
  35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,14				
  36,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,9				
  37,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,6				
  38,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,10				
  39,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,8				
  40,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13				
  41,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,11				
  42,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,6				
  43,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,9				
  44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2				
  45,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,10				
  46,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3				
  47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15				
  48,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,6				
  49,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,11				
  50,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,12				
  51,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3				
  52,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3				
  53,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,8				
  54,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,8				
  55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,14				
  56,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,9				
  57,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,9				
  58,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,7				
  59,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,7				
  60,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,11				
  61,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,8				
  62,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,10				
  63,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,5				
  64,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,13				
  65,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4				
  66,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,9				
  67,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,9				
  68,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,9				
  69,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,8				
  70,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3				
  71,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,13				
  72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2				
  73,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,8				
  74,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,8				
  75,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,11				
  76,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,11				
  77,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,14				
  78,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,12				
  79,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,13				
  80,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,12				
  81,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2				
  82,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,11				
  83,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,6				
  84,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,7				
  85,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3				
  86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2				
  87,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,10				
  88,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,9				
  89,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12				
  90,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,8				
  91,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,9				
  92,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,8				
  93,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,12				
  94,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,5				
  95,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,9				
  96,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,8				
  97,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,11				
  98,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,10				
  99,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,11				
 100,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,12				
 101,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4				
 102,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,10				
 103,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,9				
 104,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,6				
 105,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,7				
 106,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,9				
 107,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,10				
 108,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,10				
 109,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,7				
 110,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,9				
 111,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,11				
 112,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,10				
 113,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,7				
 114,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,13				
 115,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,12				
 116,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,9				
